UserID,Username,CuisineType,DietType,IngredientList,Protein,Carbohydrates,Fats,Fiber,Sugars,Saturated Fats,Trans Fats,Omega-3,Omega-6,Cholesterol,Calcium,Iron,Magnesium,Potassium,Sodium,Zinc,Vitamin C,Vitamin D,Vitamin B12,Folate,RecipeName,Instructions,HealthInfo,PreparationTimeMinutes,ConditionTag,Flavor Profile,Estimated Cost (USD)
55,User1,Indian,Keto,"butter, olive oil, Rice (1 cup); Bread (2 slices); Avocado (1 piece); Olive Oil (2 tbsp); Chicken (200g); Nuts (30g), black pepper, yogurt",12.33,43.58,52.18,78.48,18.04,58.51,78.81,23.24,12.78,83.9,25.66,32.84,91.16,53.67,31.39,84.89,25.47,98.23,34.05,83.63,Beef Quinoa Power Bowl (Home Chef Special),"To make Beef Quinoa Power Bowl, mix Rice, Bread, Avocado, Olive Oil, Chicken, Nuts, cook for 30 mins.",Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Brain Health due to Omega-3. (NIH) Good for Skin and Hair Health due to healthy fats.,18,Heart Disease,Spicy,2.89
32,User2,Japanese,Paleo,"carrot, Bread (2 slices); Quinoa (1 cup); Olive Oil (2 tbsp); Cheese (50g); Rice (1 cup); Butter (1 tbsp); Chicken (200g); Fish (250g), cumin, yogurt",70.4,97.77,50.28,96.61,15.6,35.66,3.3,79.97,56.42,93.93,20.37,2.25,55.04,31.83,83.45,43.58,45.92,13.21,45.21,53.07,Healthy Chicken Bowl (Express Edition),"To make Healthy Chicken Bowl, mix Bread, Quinoa, Olive Oil, Cheese, Rice, Butter, Chicken, Fish, cook for 30 mins.",Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Supports Muscle Building due to high protein. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content.,22,Heart Disease,Bland,2.96
62,User3,Italian,Vegetarian,"Butter (1 tbsp); Fish (250g); Avocado (1 piece); Chicken (200g); Tofu (150g), garlic, mint, black pepper, cumin",20.99,32.44,97.14,88.35,2.29,25.9,82.58,34.56,56.29,73.01,12.93,89.3,14.78,91.27,93.47,3,3.12,82.42,72.54,85.03,Vegan Delight (Home Chef Special),"To make Vegan Delight, mix Butter, Fish, Avocado, Chicken, Tofu, cook for 30 mins.",Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO) Avoid in Weight Loss Diet due to fat content. Good for Skin and Hair Health due to healthy fats.,15,Heart Disease,Spicy,3.39
36,User4,Italian,Gluten-Free,"soy sauce, black pepper, Pasta (1 cup); Bread (2 slices); Avocado (1 piece); Chicken (200g); Cheese (50g); Fish (250g); Beef (200g); Nuts (30g), carrot, butter",59.44,81.81,84.99,96.67,93,56.82,56.89,36.43,16.71,99.93,63.75,54.36,82.29,98.11,6.65,64.96,12.44,34.49,36.76,41.85,Spicy Lentil Curry,"To make Spicy Lentil Curry, mix Pasta, Bread, Avocado, Chicken, Cheese, Fish, Beef, Nuts, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content. Good for Skin and Hair Health due to healthy fats.,16,Heart Disease,Spicy,2.57
100,User5,French,Vegetarian,"mint, olive oil, green chili, onion, Quinoa (1 cup); Rice (1 cup); Pasta (1 cup); Avocado (1 piece); Olive Oil (2 tbsp); Lentils (1 cup); Chicken (200g)",64.7,26.04,33.36,93.07,15.59,26.5,77.75,32.08,45.82,95.31,49.33,16.46,77.45,82.59,52.67,45.19,60.58,61.64,37.58,76.36,Vegan Delight (Express Edition),"To make Vegan Delight, mix Quinoa, Rice, Pasta, Avocado, Olive Oil, Lentils, Chicken, cook for 30 mins.",Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Muscle Building due to high protein. (NIH) Supports Brain Health due to Omega-3. (NIH) Good for Skin and Hair Health due to healthy fats.,20,Heart Disease,Spicy,2.71
95,User6,Japanese,Gluten-Free,"Chicken (200g); Beef (200g); Tofu (150g); Olive Oil (2 tbsp); Fish (250g); Bread (2 slices); Nuts (30g); Lentils (1 cup), lemon juice, chili flakes, carrot",61.15,0.71,57.89,55.39,48.44,46.19,20.51,45.58,6.74,3.47,41.85,81.31,86.38,17.7,24.81,36.72,47.45,77.71,95.06,35.89,Beef Quinoa Power Bowl (Express Edition),"To make Beef Quinoa Power Bowl, mix Chicken, Beef, Tofu, Olive Oil, Fish, Bread, Nuts, Lentils, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Muscle Building due to high protein. (NIH) Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO),21,Heart Disease,Spicy,2.16
11,User7,Italian,High-Protein,"soy sauce, tomato, turmeric, cumin, carrot, Cheese (50g); Beef (200g); Rice (1 cup); Olive Oil (2 tbsp); Quinoa (1 cup); Potatoes (2 pieces); Nuts (30g); Tofu (150g)",34.85,60.63,56.22,99.26,86.46,2.12,72.4,41.06,17.56,57.75,54.84,0.6,79.75,10.91,54.85,45.57,19.09,13.22,29.62,29.94,Spicy Lentil Curry (Home Chef Special),"To make Spicy Lentil Curry, mix Cheese, Beef, Rice, Olive Oil, Quinoa, Potatoes, Nuts, Tofu, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO),12,Heart Disease,Savory,2.99
22,User8,Mexican,Low-Carb,"Rice (1 cup); Nuts (30g); Pasta (1 cup); Beef (200g); Tofu (150g); Quinoa (1 cup), ginger, black pepper, cumin, lemon juice, butter",5.45,0.55,87.77,64.59,38.23,28.37,29.49,15.6,92.68,20.64,72.6,79.86,51.17,43.4,68.53,24.98,69.36,24.22,19.6,21.65,Healthy Chicken Bowl (Express Edition),"To make Healthy Chicken Bowl, mix Rice, Nuts, Pasta, Beef, Tofu, Quinoa, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO) Avoid in Weight Loss Diet due to fat content.,14,Heart Disease,Spicy,3.42
47,User9,Japanese,Low-Carb,"Quinoa (1 cup); Avocado (1 piece); Bread (2 slices); Olive Oil (2 tbsp); Tofu (150g), chili flakes, carrot, cumin",3.57,39.87,73.58,41.3,65.44,83.46,22.04,78.68,68.67,24.66,36.34,78.6,51.31,8.89,17.29,30.06,36.37,30.19,73.95,97.24,Beef Quinoa Power Bowl (Express Edition),"To make Beef Quinoa Power Bowl, mix Quinoa, Avocado, Bread, Olive Oil, Tofu, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO) Avoid in Weight Loss Diet due to fat content. Good for Skin and Hair Health due to healthy fats.,16,Heart Disease,Spicy,2.28
90,User10,American,Keto,"Potatoes (2 pieces); Olive Oil (2 tbsp); Lentils (1 cup); Bread (2 slices); Rice (1 cup); Chicken (200g), coriander, ginger, onion",5.82,4.5,43.69,90.15,38.34,40.93,36.65,75.38,64.51,90.1,1.81,97.74,14.83,10.66,39.57,17.98,52.37,87.72,79.17,99.34,Spicy Lentil Curry (Home Chef Special),"To make Spicy Lentil Curry, mix Potatoes, Olive Oil, Lentils, Bread, Rice, Chicken, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH),20,Heart Disease,Bland,2.64
79,User11,Mexican,Low-Carb,"capsicum, turmeric, coriander, onion, Potatoes (2 pieces); Chicken (200g); Rice (1 cup); Cheese (50g); Tofu (150g), yogurt",49.75,36.06,50.39,46.47,93.7,10.37,49.89,15.71,0.85,93.19,6.95,88.02,52,87.25,74.34,91.74,70.37,44.74,55.17,37.84,Vegan Delight (Home Chef Special),"To make Vegan Delight, mix Potatoes, Chicken, Rice, Cheese, Tofu, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO),20,Heart Disease,Bland,3.29
34,User12,Thai,Low-Carb,"salt, coriander, Quinoa (1 cup); Cheese (50g); Chicken (200g); Lentils (1 cup); Olive Oil (2 tbsp), cumin",31.35,89.52,98.7,37.32,27.69,32.1,59.7,70.32,12.05,88.72,42.42,14.88,29.24,33.19,6.24,41.2,9.53,30.02,48.54,80.28,Avocado Pasta,"To make Avocado Pasta, mix Quinoa, Cheese, Chicken, Lentils, Olive Oil, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content.,15,Heart Disease,Neutral,2.51
35,User13,French,Vegan,"Nuts (30g); Fish (250g); Lentils (1 cup); Potatoes (2 pieces); Pasta (1 cup), garlic, onion, black pepper",51.22,34.86,98.48,97.94,45.06,86.1,18.57,9.24,5.53,3.21,65,14.69,15.94,11.43,1.23,12.73,43.79,63.62,53.52,96.32,Healthy Chicken Bowl (Home Chef Special),"To make Healthy Chicken Bowl, mix Nuts, Fish, Lentils, Potatoes, Pasta, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Avoid in Weight Loss Diet due to fat content.,13,Heart Disease,Spicy,2.6
83,User14,American,Vegetarian,"capsicum, Quinoa (1 cup); Fish (250g); Tofu (150g); Chicken (200g); Avocado (1 piece), chili flakes, cumin, carrot, yogurt",2.94,40.32,27.15,81.44,16.02,73.53,80.95,4.29,72.12,69.1,40.57,78.02,96.51,3.74,44.18,54.36,6.97,8.67,86.36,68.36,Beef Quinoa Power Bowl,"To make Beef Quinoa Power Bowl, mix Quinoa, Fish, Tofu, Chicken, Avocado, cook for 30 mins.",Beneficial for Constipation due to high fiber. (NIH) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Not recommended for Heart Disease due to fat profile. (AHA) Suitable for Anemia due to high iron content. (NIH) Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO) Good for Skin and Hair Health due to healthy fats.,14,Heart Disease,Spicy,3.12
10,User15,Chinese,Balanced,"Tofu (150g); Avocado (1 piece); Chicken (200g); Lentils (1 cup); Potatoes (2 pieces); Quinoa (1 cup), capsicum, garlic, ginger, salt, lemon juice",59.7,64.8,60.21,10.7,76.87,6.33,50.16,89.76,50.27,56.16,83.54,92.66,5.74,73.33,43.45,20.3,7.35,77.16,53,83.89,Healthy Chicken Bowl (Express Edition),"To make Healthy Chicken Bowl, mix Tofu, Avocado, Chicken, Lentils, Potatoes, Quinoa, cook for 30 mins.",Not suitable for Diabetes due to high sugar content. (ADA) Avoid in High Cholesterol due to saturated/trans fat. (AHA) Suitable for Anemia due to high iron content. (NIH) Avoid in Low Carb Diet due to high carb content. Supports Brain Health due to Omega-3. (NIH) Good for Bone Health due to high calcium. (WHO) Good for Skin and Hair Health due to healthy fats.,15,Heart Disease,Tangy,3.1
